uniprot_ac;gene_name;binddegs_fragments;kleiner;west;
Q5ZPR3;CD276;1;;;
Q9Y251;HPSE;1;;;
P15529;CD46;1;;;
Q96J84;KIRREL1;1;;;
P56192;MARS1;1;;yes;
Q9H0H5;RACGAP1;1;;;
Q10471;GALNT2;1;;yes;
Q9UPR3;SMG5;1;;;
P51809;VAMP7;1;;;
Q9HB90;RRAGC;1;;;
Q9H4M9;EHD1;1;;;
Q6IAA8;LAMTOR1;1;;;
P55011;SLC12A2;1;;;
P51148;RAB5C;1;;;
P56556;NDUFA6;1;;;
Q16718;NDUFA5;1;;;
Q13614;MTMR2;1;;;
O43768;ENSA;1;;;
Q2M389;WASHC4;1;;;
Q9NZQ3;NCKIPSD;1;;;
Q9UNI6;DUSP12;1;;;
Q9Y297;BTRC;1;;;
P09496;CLTA;1;;;
Q13868;EXOSC2;1;;;
P49368;CCT3;1;;;
O75475;PSIP1;1;;;
Q9Y3P9;RABGAP1;1;;;
Q12905;ILF2;1;;;
P35609;ACTN2;1;;;
Q9UI10;EIF2B4;1;;;
Q9UBD5;ORC3;1;;;
P20337;RAB3B;1;;;
Q9NVC6;MED17;1;;;
O43156;TTI1;1;;;
Q9Y237;PIN4;1;;;
P41250;GARS1;1;;;
Q8N806;UBR7;1;;;
Q9ULM6;CNOT6;1;;;
P07741;APRT;1;;;
Q7KZI7;MARK2;1;;;
Q9BVI4;NOC4L;1;;;
Q9Y5J1;UTP18;1;;;
Q07955;SRSF1;1;;;
Q9UHY1;NRBP1;1;;;
P07910;HNRNPC;1;;;
P05198;EIF2S1;1;;;
O75494;SRSF10;1;;;
P09651;HNRNPA1;1;;;
O43818;RRP9;1;;;
O60701;UGDH;1;;;
Q9UII2;ATP5IF1;1;;;
O43663;PRC1;1;;;
O00571;DDX3X;1;;;
Q5W0Z9;ZDHHC20;1;;;
P13798;APEH;1;;;
Q9UJ70;NAGK;1;;;
P49590;HARS2;1;;;
Q96EB6;SIRT1;1;;;
P25325;MPST;1;;;
Q9UDY2;TJP2;1;;;
Q9Y5A9;YTHDF2;1;;;
O15360;FANCA;1;;;
Q99575;POP1;1;;;
Q96F86;EDC3;1;;;
Q9Y2D4;EXOC6B;1;;;
Q9H2H8;PPIL3;1;;;
O15020;SPTBN2;1;;;
Q68CQ4;UTP25;1;;;
Q9BQ39;DDX50;1;;;
Q15019;SEPTIN2;1;;;
Q92688;ANP32B;1;;;
O94826;TOMM70;1;;;
Q9NYU2;UGGT1;1;;;
P19174;PLCG1;1;;;
Q99598;TSNAX;1;;;
Q14155;ARHGEF7;1;;;
Q9GZT3;SLIRP;1;;;
Q9BPU6;DPYSL5;1;;;
Q9H269;VPS16;1;;;
Q9UBF8;PI4KB;1;;;
Q6PI48;DARS2;1;;;
Q96T88;UHRF1;1;;;
Q13547;HDAC1;1;;;
Q9NVN8;GNL3L;1;;;
Q8WVX9;FAR1;1;;;
Q5TC12;ATPAF1;1;;;
Q6I9Y2;THOC7;1;;;
Q96EU6;RRP36;1;;;
Q15007;WTAP;1;;;
O15270;SPTLC2;1;;;
Q9BQ67;GRWD1;1;;;
P02794;FTH1;1;;yes;
Q96B26;EXOSC8;1;;;
Q9Y2Z9;COQ6;1;;;
Q12765;SCRN1;1;;yes;
Q9Y3E1;HDGFL3;1;;;
Q96EA4;SPDL1;1;;;
Q15051;IQCB1;1;;;
Q9H814;PHAX;1;;;
Q00403;GTF2B;1;;;
Q9UKY7;CDV3;1;;;
P49761;CLK3;1;;;
Q9HD42;CHMP1A;1;;;
Q99541;PLIN2;1;;;
Q8N3Z3;GTPBP8;1;;;
Q96HH6;TMEM19;1;;;
Q16890;TPD52L1;1;;;
P60520;GABARAPL2;1;;;
Q32NB8;PGS1;1;;;
Q9UL54;TAOK2;1;;;
Q7L7X3;TAOK1;1;;;
P36871;PGM1;1;;;
Q9BTW9;TBCD;1;;;
Q5TAX3;TUT4;1;;;
Q9BRX5;GINS3;1;;;
Q15287;RNPS1;1;;;
Q9UJZ1;STOML2;1;;;
A2RTX5;TARS3;1;;;
Q96DM3;RMC1;1;;;
P53680;AP2S1;1;;;
Q14964;RAB39A;1;;;
Q7Z6K3;PTAR1;1;;;
Q9BTV6;DPH7;1;;;
Q9UIC8;LCMT1;1;;;
Q08117;TLE5;1;;;
Q13451;FKBP5;1;;;
O75530;EED;1;;;
O75695;RP2;1;;;
Q9ULE6;PALD1;1;;;
Q96F25;ALG14;1;;;
Q9BPY3;FAM118B;1;;;
P42574;CASP3;1;;;
Q6ZQQ6;WDR87;1;;;
Q3B7T1;EDRF1;1;;;
Q9UIA9;XPO7;1;;;
Q92841;DDX17;1;;;
O14972;VPS26C;1;;;
Q96KC2;ARL5B;1;;;
O95873;C6orf47;1;;;
Q6IC98;GRAMD4;1;;;
Q96RT7;TUBGCP6;1;;;
Q86W74;ANKRD46;1;;;
O14957;UQCR11;1;;;
Q9BYC5;FUT8;1;;;
Q8TC12;RDH11;1;;;
Q96S52;PIGS;1;;;
Q68D91;MBLAC2;1;;yes;
O15235;MRPS12;1;;;
Q8N766;EMC1;1;;;
O75131;CPNE3;1;;;
Q6ZNB6;NFXL1;1;;;
Q12770;SCAP;1;;;
Q9H6R6;ZDHHC6;1;;;
Q9H3K6;"BOLA2; BOLA2B";1;;yes;
Q9NWS0;PIH1D1;1;;;
Q9Y3E5;PTRH2;1;;;
Q96GC5;MRPL48;1;;;
P49411;TUFM;1;;;
Q00535;CDK5;1;;yes;
Q69YQ0;SPECC1L;1;;;
Q96ST2;IWS1;1;;;
O00459;PIK3R2;1;;;
P04792;HSPB1;1;;;
Q9Y2C4;EXOG;1;;;
O15514;POLR2D;1;;;
P08579;SNRPB2;1;;;
Q8TD30;GPT2;1;;;
Q9H1I8;ASCC2;1;;;
Q9Y224;RTRAF;1;;;
O94915;FRYL;1;;;
O60921;HUS1;1;;;
Q8N3F8;MICALL1;1;;;
Q7L7V1;DHX32;1;;;
Q9Y5B6;PAXBP1;1;;;
Q92530;PSMF1;1;;;
O95155;UBE4B;1;;;
Q9UNE7;STUB1;1;;;
A5PLL7;PEDS1;1;;;
Q9Y5U8;MPC1;1;;;
Q8NE62;CHDH;1;;;
Q9Y672;ALG6;1;;;
O75122;CLASP2;1;;;
Q9H981;ACTR8;1;;;
O43909;EXTL3;1;;;
P25398;RPS12;1;;;
Q8WVV9;HNRNPLL;1;;;
Q9NT62;ATG3;1;;;
Q92747;ARPC1A;1;;;
P62273;RPS29;1;;;
O43347;MSI1;1;;;
Q9Y3Q3;TMED3;1;;;
Q9BTE3;MCMBP;1;;;
O60271;SPAG9;1;;;
Q96C90;PPP1R14B;1;;;
Q9H2H9;SLC38A1;1;;;
P54289;CACNA2D1;1;;;
O75608;LYPLA1;1;;;
O75179;ANKRD17;1;;;
O00629;KPNA4;1;;;
O60678;PRMT3;1;;;
Q9Y2S7;POLDIP2;1;;;
Q9NY12;GAR1;1;;;
Q5BJD5;TMEM41B;1;;;
Q9NU22;MDN1;1;;;
Q96EV8;DTNBP1;1;;;
A9UHW6;MIF4GD;1;;;
Q5RKV6;EXOSC6;1;;;
P46100;ATRX;1;;;
