C100	CNC(=O)c1n[nH]c(C(F)(F)F)c1C(C)C
C101	CC(=O)NC(C(=O)N1CCCCC1)C(C)C
C102	CNC(=O)c1cc2c(cc1Cl)NC(=O)C2
C103	CNC(=O)C1CCC2NC(=O)C(C)(C)C2C1
C104	CC(=O)N(C)C[C@@H]1OCC[C@@H]1c1ncn[nH]1
C105	CNC(=O)C1(c2cc(C)no2)CCOCC1
C106	CC(=O)N(C)C1(c2cccc(Cl)c2)CC1
C107	CNC(=O)CC1CCCC(C(F)(F)F)C1
C108	CC(=O)N1CCC2CCC21c1cccs1
C109	CC(=O)NCc1cnn2ccn(C)c(=O)c12
C110	CC(=O)NC(C)(C)c1cc(C(F)F)on1
C111	CNC(=O)CCn1c(C)c(C)sc1=O
C112	CNC(=O)c1ccc(Cc2ccccc2)[nH]1
C113	CC(=O)N1C[C@@H](O)[C@H](N2CCOCC2)C1
C114	CC(=O)N1CC2(CC(O)CNC2=O)C1
C115	CC(=O)NC1CC(N(C)C)C12CCC2
C116	CC(=O)N1Cc2nc(C)[nH]c(=O)c2C1
C117	CC(=O)N1CCN2CCCCC1C2
C119	CNC(=O)C1CCCN1S(=O)(=O)c1sc(=O)[nH]c1C
C120	CNC(=O)C(C)Oc1cc(C)cc2oc(=O)c3c(c12)CCC3
C121	CCn1cc(Cn2cc(Cl)c(NC(C)=O)n2)c(C)n1
C122	CNC(=O)CN1C(=O)NC(C)(c2ccc(C)cc2)C1=O
C123	CC(=O)N1C2CCC1CC(N1CCCS1(=O)=O)C2
C125	CC(=O)N1CCC2(CC1)CC2CN1CCN(C)CC1
C126	CC(=O)N1CC(C)(c2nnc(C3CCOCC3)o2)C1
C128	CC(=O)N[C@@H]1CCCC[C@H]1NS(=O)(=O)C1CC1
C129	CC(=O)N(C)Cc1coc(-c2ccc(C#N)cc2)n1
C130	CC(=O)NC(c1ccc2c(c1)OCCO2)C1CC1
C131	CC(=O)Nc1ccc(C2CC(=O)NC(=O)N2)cc1
C132	CC(=O)NC1CCc2c(nc(C)n2CCO)C1
C133	CNC(=O)C1(COC)CCCNS1(=O)=O
C134	CNC(=O)C(O)c1cc(Cl)cc(Cl)c1
C135	CNC(=O)C(O)(c1ccccc1)C(F)(F)F
C136	CNC(=O)Cc1cc(S(N)(=O)=O)cn1C
C137	CC(=O)N1CCCC12CCCS(=N)(=O)C2
C138	CNC(=O)c1cc2n(n1)CCNS2(=O)=O
C139	CC(=O)N1CCCn2c(cc3ccccc32)C1
C140	CC(=O)N1CC(OCc2ccccc2F)C1
C141	CC(=O)NCC1(C(F)(F)F)CCCCC1
C142	CNC(=O)c1ccnc(OC2CCOC2)c1
C143	CNC(=O)C1C2Cc3c(Cl)cccc3C21
C144	CNC(=O)c1ncsc1S(N)(=O)=O
C145	CC(=O)Nc1cc(-n2ccnn2)ccc1F
C146	CC(=O)N1CCO[C@@H]2CS(=O)(=O)C[C@@H]21
C147	CNC(=O)C1CCCc2cc(C#N)ccc21
C148	CNC(=O)C12CC(CO)(C1)OC21COC1
C149	CNC(=O)CCC1CC(C)N(C)C1C
C150	CC(=O)NC(CC(C)C)c1nc[nH]n1
C151	CC(=O)NCC(O)c1cncs1
C152	CNC(=O)C1CN(CC(F)F)C1
C153	CC(=O)N1Cc2sccc2CC1(C)C
C154	CC(=O)NCc1nnc(C2CC2)n1C1CC1
C156	CC(=O)N(C)C12CC(C(F)(F)F)(C1)C2
C157	CC(=O)NCC1CCc2nnc(C(F)F)n2C1
C158	CNC(=O)c1cc2c(C(F)(F)F)cc(=O)[nH]c2o1
C159	CC(=O)Nc1ccccc1Oc1cccc(C#N)c1
C160	CC(=O)NC1CCC(O)(c2cccc(F)c2)CC1
C161	CNC(=O)CCc1nc2cc(Cl)ccc2s1
C162	CCN1C(=O)CO[C@H](CNC(C)=O)[C@H]1c1nccn1C
