FragID	X	Y	CeMM	Highlight	MW	HBD	HBA	cLogP	Heteroatoms	Rings	Rot. Bonds	Aromatic Bonds	Acidic Groups	Basic Groups	Atomic Polarizability
C183	54.593117	21.796036	1	0	265.068511224	1.0	4.0	2.5413000000000006	6.0	2.0	3.0	11.0	0.0	0.0	36.680516000000004
C184	11.595111	-25.556189	1	0	196.121177752	2.0	2.0	0.037199999999999955	4.0	2.0	1.0	0.0	0.0	0.0	32.072688
C185	-7.141055	46.79762	1	0	255.056528896	1.0	4.0	0.3573999999999997	6.0	2.0	2.0	6.0	0.0	0.0	35.23630899999999
C186	17.506208	-29.19382	1	0	321.160790068	0.0	3.0	2.4729	5.0	3.0	2.0	6.0	0.0	1.0	52.20503200000002
C187	53.397125	26.489622	1	0	229.085126592	1.0	4.0	1.6284999999999998	5.0	2.0	3.0	12.0	0.0	0.0	33.358723000000005
C189	31.324924	-15.824434	1	0	260.138559132	2.0	4.0	0.5841999999999999	7.0	3.0	2.0	10.0	0.0	0.0	39.190688
C190	-37.82667	-11.461003	1	0	196.121177752	1.0	3.0	1.7425199999999998	4.0	1.0	3.0	5.0	0.0	0.0	32.072688
C191	-8.926518	-8.778359	1	0	255.100776656	1.0	3.0	0.8783799999999995	5.0	3.0	0.0	6.0	0.0	0.0	38.212309
C193	48.748344	23.99736	1	0	256.121177752	1.0	3.0	2.3157000000000005	4.0	2.0	4.0	12.0	0.0	0.0	40.87268800000002
C194	5.5956287	-30.729837	1	0	237.116506972	1.0	2.0	1.6633999999999998	4.0	2.0	3.0	6.0	0.0	0.0	36.809688
C195	-47.193157	5.789794	1	0	211.157228912	2.0	2.0	1.4758	3.0	1.0	4.0	0.0	0.0	0.0	37.82665300000001
C196	11.9611435	26.858192	1	0	242.105527688	1.0	3.0	2.6190000000000007	4.0	2.0	4.0	12.0	0.0	0.0	37.77910200000001
C197	12.136994	-35.427803	1	0	244.15756326	0.0	2.0	2.1914	3.0	3.0	2.0	6.0	0.0	1.0	42.73786000000002
C198	46.514442	26.453394	1	0	263.107004908	1.0	4.0	2.0965999999999996	6.0	2.0	4.0	11.0	0.0	0.0	37.676102
C199	4.047452	53.960102	1	0	246.067427928	2.0	4.0	-0.0031799999999999606	7.0	1.0	4.0	5.0	0.0	0.0	33.483101999999995
C200	-36.565502	-2.4845037	1	0	237.147726848	0.0	4.0	0.6283999999999994	5.0	2.0	3.0	5.0	0.0	0.0	38.693067
C201	0.13773713	-30.293123	1	0	219.125928784	1.0	2.0	2.2070999999999996	3.0	2.0	2.0	6.0	0.0	0.0	36.919481
C203	29.126278	16.557846	1	0	246.122909068	1.0	6.0	-0.1609000000000005	7.0	3.0	2.0	10.0	0.0	0.0	36.09710200000001
C204	-3.0556235	46.032116	1	0	259.033685276	1.0	4.0	1.4912	6.0	2.0	1.0	5.0	0.0	0.0	35.57430899999999
C205	17.942564	4.130409	1	0	247.093246664	1.0	3.0	1.5977999999999999	7.0	2.0	1.0	5.0	0.0	0.0	31.374516000000007
C206	47.23838	10.521911	1	0	279.067762276	0.0	6.0	1.7179	7.0	3.0	2.0	10.0	0.0	0.0	38.394309
