P02775	Other
P02775	Other
P02775	Other
P02775	Other
O75712	Other
O75712	Other
O75712	Other
O75712	Other
Q96KN9	Other
Q96KN9	Other
Q96KN9	Other
Q96KN9	Other
P25025	GPCR
P25025	GPCR
P25025	GPCR
P25025	GPCR
P25025	GPCR
A6NN92	Other
A6NN92	Other
A6NN92	Other
A6NN92	Other
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P61073	GPCR
P00167	Other
P00167	Other
P00167	Other
P00167	Other
P00167	Other
Q9BQA9	Other
Q9HB71	Other
Q9HB71	Other
Q9HB71	Other
Q9HB71	Other
Q9HB71	Other
P00156	Other
P00403	Enzyme
P00403	Enzyme
P00403	Enzyme
P00403	Enzyme
Q7Z7K0	Other
O14548	Enzyme
O14548	Enzyme
O14548	Enzyme
O14548	Enzyme
O14548	Enzyme
P10632	Other
P51589	Other
Q86X59	Other
A8MU93	Other
Q96SQ9	Other
O75718	Other
O75718	Other
O75718	Other
O75462	Other
O75462	Other
O75462	Other
O75462	Other
Q9HC73	Other
Q9HC73	Other
Q9HC73	Other
Q9HC73	Other
P02489	Other
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
Q9Y2W7	Ion Channel
P0DML2	Other
P0DML2	Other
P0DML2	Other
P0DML2	Other
Q9BV81	Other
Q9Y3B6	Other
P50402	Other
P15509	Other
P15509	Other
P15509	Other
P15509	Other
Q99062	Other
Q99062	Other
Q99062	Other
Q99062	Other
Q96A84	Other
Q8WXE0	Other
Q8WXE0	Other
Q8WXE0	Other
Q7L5N1	Other
Q7L5N1	Other
Q7L5N1	Other
Q7L5N1	Other
Q7L5N1	Other
Q9UBW8	Other
Q99708	Enzyme
Q99708	Enzyme
Q99708	Enzyme
Q99708	Enzyme
P35221	Other
P35221	Other
P35221	Other
P35221	Other
P35221	Other
Q8WWI5	Transporter
Q8WWI5	Transporter
Q8WWI5	Transporter
Q8WWI5	Transporter
Q8WWI5	Transporter
A4D2H0	Other
A4D2H0	Other
A4D2H0	Other
A4D2H0	Other
Q13618	Other
Q13619	Other
Q13619	Other
Q13619	Other
Q13619	Other
