"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"56","O43772",14.29,"SLC25A20","screen_C391_F__CRF",4.85,1.745e-05
"57","Q6UW68",13.92,"TMEM205","PC_C391_E1_20x__PC_C391_F",-1.96,0.0112225950410905
"58","Q6UW68",13.92,"TMEM205","PC_C391_E10_20x__PC_C391_F",-1.21,0.131988663591219
"59","Q6UW68",13.92,"TMEM205","PC_C391_E4_20x__PC_C391_F",-1.82,0.0170517107232084
"60","Q6UW68",13.92,"TMEM205","PC_C391_E6_20x__PC_C391_F",-2.3,0.00411708516457465
"61","Q6UW68",13.92,"TMEM205","PC_C391_E8_20x__PC_C391_F",-1.58,0.038194116864765
"62","Q6UW68",13.92,"TMEM205","PC_C391_E9_20x__PC_C391_F",-1.35,0.0803781912840091
"63","Q6UW68",13.92,"TMEM205","PC_C391_F__CRF",3.7,0.00015105749111366
"64","Q6UW68",13.92,"TMEM205","screen_C391_F__CRF",3.98,1.09e-06
"65","P06493",13.88,"CDK1","PC_C391_E1_20x__PC_C391_F",-1.66,0.0163645141824169
"66","P06493",13.88,"CDK1","PC_C391_E10_20x__PC_C391_F",-1.11,0.121678558737301
"67","P06493",13.88,"CDK1","PC_C391_E4_20x__PC_C391_F",-1.68,0.0150233064060451
"68","P06493",13.88,"CDK1","PC_C391_E6_20x__PC_C391_F",-2.32,0.00198457393135476
"69","P06493",13.88,"CDK1","PC_C391_E8_20x__PC_C391_F",-1.76,0.0115223240259685
"70","P06493",13.88,"CDK1","PC_C391_E9_20x__PC_C391_F",-1.66,0.0160664771673205
"71","P06493",13.88,"CDK1","PC_C391_F__CRF",3.69,7.19917881124577e-05
"72","P06493",13.88,"CDK1","screen_C391_F__CRF",4.06,9e-07
"73","Q99595",13.43,"TIMM17A","PC_C391_E1_20x__PC_C391_F",-1.11,0.346514971468923
"74","Q99595",13.43,"TIMM17A","PC_C391_E10_20x__PC_C391_F",-0.78,0.688661172054043
"75","Q99595",13.43,"TIMM17A","PC_C391_E4_20x__PC_C391_F",-1.49,0.126290144449023
"76","Q99595",13.43,"TIMM17A","PC_C391_E6_20x__PC_C391_F",-1.92,0.0384868946925492
"77","Q99595",13.43,"TIMM17A","PC_C391_E8_20x__PC_C391_F",-1.19,0.28155328773659
"78","Q99595",13.43,"TIMM17A","PC_C391_E9_20x__PC_C391_F",-1.55,0.10722150666105
"79","Q99595",13.43,"TIMM17A","PC_C391_F__CRF",5.39,3.96808842165752e-05
"80","Q99595",13.43,"TIMM17A","screen_C391_F__CRF",5.93,NA
"81","Q9H6V9",13.31,"LDAH","PC_C391_E1_20x__PC_C391_F",-1.62,0.0166113537754169
"82","Q9H6V9",13.31,"LDAH","PC_C391_E10_20x__PC_C391_F",-0.85,0.300227501976969
"83","Q9H6V9",13.31,"LDAH","PC_C391_E4_20x__PC_C391_F",-1.69,0.0127484018510886
"84","Q9H6V9",13.31,"LDAH","PC_C391_E6_20x__PC_C391_F",-2.61,0.00075800467600761
"85","Q9H6V9",13.31,"LDAH","PC_C391_E8_20x__PC_C391_F",-0.93,0.224568443258751
"86","Q9H6V9",13.31,"LDAH","PC_C391_E9_20x__PC_C391_F",-0.98,0.185262748360758
