"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"271","Q15165",10.51,"PON2","PC_C391_F__CRF",3.6,0.00011857391425118
"272","Q15165",10.51,"PON2","screen_C391_F__CRF",5.11,7.5e-07
"273","P30837",10.28,"P30837","PC_C391_E1_20x__PC_C391_F",-0.74,0.399875314192654
"274","P30837",10.28,"P30837","PC_C391_E10_20x__PC_C391_F",-0.56,0.687505601019733
"275","P30837",10.28,"P30837","PC_C391_E4_20x__PC_C391_F",-1.18,0.0772070077316048
"276","P30837",10.28,"P30837","PC_C391_E6_20x__PC_C391_F",-1.37,0.0366328211722298
"277","P30837",10.28,"P30837","PC_C391_E8_20x__PC_C391_F",-0.68,0.491833641723598
"278","P30837",10.28,"P30837","PC_C391_E9_20x__PC_C391_F",-2.17,0.00235309961231367
"279","P30837",10.28,"P30837","PC_C391_F__CRF",3.58,6.59667367434169e-05
"280","P30837",10.28,"P30837","screen_C391_F__CRF",4.55,1.332e-05
"281","Q9UHG3",10.26,"PCYOX1","PC_C391_E1_20x__PC_C391_F",-0.56,0.813255336715648
"282","Q9UHG3",10.26,"PCYOX1","PC_C391_E10_20x__PC_C391_F",-1.05,0.244737668492572
"283","Q9UHG3",10.26,"PCYOX1","PC_C391_E4_20x__PC_C391_F",-0.92,0.368566680420139
"284","Q9UHG3",10.26,"PCYOX1","PC_C391_E6_20x__PC_C391_F",-2.16,0.00747628926142763
"285","Q9UHG3",10.26,"PCYOX1","PC_C391_E8_20x__PC_C391_F",-1.09,0.217642972287269
"286","Q9UHG3",10.26,"PCYOX1","PC_C391_E9_20x__PC_C391_F",-0.54,0.842953752250111
"287","Q9UHG3",10.26,"PCYOX1","PC_C391_F__CRF",3.94,0.00011874529516486
"288","Q9UHG3",10.26,"PCYOX1","screen_C391_F__CRF",5.24,3.14e-06
"289","P28070",10.13,"PSMB4","PC_C391_E1_20x__PC_C391_F",-1.11,0.192810681988502
"290","P28070",10.13,"PSMB4","PC_C391_E10_20x__PC_C391_F",-0.71,0.613354568785887
"291","P28070",10.13,"PSMB4","PC_C391_E4_20x__PC_C391_F",-1.18,0.153228489104618
"292","P28070",10.13,"PSMB4","PC_C391_E6_20x__PC_C391_F",-1.48,0.0567245930759325
"293","P28070",10.13,"PSMB4","PC_C391_E8_20x__PC_C391_F",-1.14,0.175378137495198
"294","P28070",10.13,"PSMB4","PC_C391_E9_20x__PC_C391_F",-1.13,0.180839410624134
"295","P28070",10.13,"PSMB4","PC_C391_F__CRF",3.38,0.00032909761041433
"296","P28070",10.13,"PSMB4","screen_C391_F__CRF",4.67,7.99e-06
"297","Q7Z7F7",10.12,"MRPL55","PC_C391_E1_20x__PC_C391_F",-0.67,0.838142805086279
"298","Q7Z7F7",10.12,"MRPL55","PC_C391_E10_20x__PC_C391_F",-0.48,0.960410110904816
"299","Q7Z7F7",10.12,"MRPL55","PC_C391_E4_20x__PC_C391_F",-0.97,0.523532862043609
"300","Q7Z7F7",10.12,"MRPL55","PC_C391_E6_20x__PC_C391_F",-1.13,0.369995402968272
"301","Q7Z7F7",10.12,"MRPL55","PC_C391_E8_20x__PC_C391_F",-1.07,0.424855107958888
"302","Q7Z7F7",10.12,"MRPL55","PC_C391_E9_20x__PC_C391_F",-0.34,0.99406489893748
"303","Q7Z7F7",10.12,"MRPL55","PC_C391_F__CRF",5.46,5.00235280490591e-05
"304","Q7Z7F7",10.12,"MRPL55","screen_C391_F__CRF",6.32,NA
"305","Q8WTV0",10.1,"SCARB1","PC_C391_E1_20x__PC_C391_F",-0.79,0.387909626063382
"306","Q8WTV0",10.1,"SCARB1","PC_C391_E10_20x__PC_C391_F",-0.78,0.396782861469409
"307","Q8WTV0",10.1,"SCARB1","PC_C391_E4_20x__PC_C391_F",-1.34,0.0515734553834837
"308","Q8WTV0",10.1,"SCARB1","PC_C391_E6_20x__PC_C391_F",-1.46,0.0336989828048069
"309","Q8WTV0",10.1,"SCARB1","PC_C391_E8_20x__PC_C391_F",-0.87,0.295234712912336
"310","Q8WTV0",10.1,"SCARB1","PC_C391_E9_20x__PC_C391_F",-1.54,0.0248516530309424
"311","Q8WTV0",10.1,"SCARB1","PC_C391_F__CRF",3.32,0.00015671750823775
"312","Q8WTV0",10.1,"SCARB1","screen_C391_F__CRF",4.53,3.02e-06
"313","Q5BJF2",9.85,"TMEM97","PC_C391_E1_20x__PC_C391_F",-0.83,0.412154550520822
"314","Q5BJF2",9.85,"TMEM97","PC_C391_E10_20x__PC_C391_F",-0.75,0.514074173493973
"315","Q5BJF2",9.85,"TMEM97","PC_C391_E4_20x__PC_C391_F",-1.22,0.110740772867838
"316","Q5BJF2",9.85,"TMEM97","PC_C391_E6_20x__PC_C391_F",-1.29,0.0873199319015131
"317","Q5BJF2",9.85,"TMEM97","PC_C391_E8_20x__PC_C391_F",-1.29,0.0886950017467025
"318","Q5BJF2",9.85,"TMEM97","PC_C391_E9_20x__PC_C391_F",-1.41,0.0567877899211459
"319","Q5BJF2",9.85,"TMEM97","PC_C391_F__CRF",3.06,0.00047933967522706
"320","Q5BJF2",9.85,"TMEM97","screen_C391_F__CRF",4.07,1.323e-05
"321","O14737",9.67,"PDCD5","PC_C391_E1_20x__PC_C391_F",-1.11,0.0812585546759571
"322","O14737",9.67,"PDCD5","PC_C391_E10_20x__PC_C391_F",-0.74,0.354898379263018
"323","O14737",9.67,"PDCD5","PC_C391_E4_20x__PC_C391_F",-1.1,0.0865177178603875
"324","O14737",9.67,"PDCD5","PC_C391_E6_20x__PC_C391_F",-1.6,0.0118402259895866
"325","O14737",9.67,"PDCD5","PC_C391_E8_20x__PC_C391_F",-1.04,0.10995165707695
"326","O14737",9.67,"PDCD5","PC_C391_E9_20x__PC_C391_F",-0.94,0.16119409392666
"327","O14737",9.67,"PDCD5","PC_C391_F__CRF",3.14,0.00012097648885578
"328","O14737",9.67,"PDCD5","screen_C391_F__CRF",4.27,1.744e-05
"329","P21796",9.54,"VDAC1","PC_C391_E1_20x__PC_C391_F",-0.53,0.893454957943971
"330","P21796",9.54,"VDAC1","PC_C391_E10_20x__PC_C391_F",-0.84,0.539197344183301
"331","P21796",9.54,"VDAC1","PC_C391_E4_20x__PC_C391_F",-0.94,0.420832010517731
"332","P21796",9.54,"VDAC1","PC_C391_E6_20x__PC_C391_F",-1.33,0.140359928742992
"333","P21796",9.54,"VDAC1","PC_C391_E8_20x__PC_C391_F",-0.93,0.432734696130895
"334","P21796",9.54,"VDAC1","PC_C391_E9_20x__PC_C391_F",-0.6,0.828941686061304
"335","P21796",9.54,"VDAC1","PC_C391_F__CRF",4.37,9.91938359650169e-05
"336","P21796",9.54,"VDAC1","screen_C391_F__CRF",5.73,1.3e-07
"337","Q9NTG7",9.4,"SIRT3","PC_C391_E1_20x__PC_C391_F",-1.26,0.134736695543482
"338","Q9NTG7",9.4,"SIRT3","PC_C391_E10_20x__PC_C391_F",-0.47,0.912572008453357
"339","Q9NTG7",9.4,"SIRT3","PC_C391_E4_20x__PC_C391_F",-1.3,0.119380581073048
"340","Q9NTG7",9.4,"SIRT3","PC_C391_E6_20x__PC_C391_F",-1.48,0.0667427326806092
"341","Q9NTG7",9.4,"SIRT3","PC_C391_E8_20x__PC_C391_F",-0.84,0.477008192038674
"342","Q9NTG7",9.4,"SIRT3","PC_C391_E9_20x__PC_C391_F",-0.3,0.99106934611323
"343","Q9NTG7",9.4,"SIRT3","PC_C391_F__CRF",3.75,0.00019351385575361
"344","Q9NTG7",9.4,"SIRT3","screen_C391_F__CRF",NA,NA
"345","Q8WVI0",9.36,"SMIM4","PC_C391_E1_20x__PC_C391_F",-0.67,0.816282781665689
"346","Q8WVI0",9.36,"SMIM4","PC_C391_E10_20x__PC_C391_F",-0.55,0.91336070459605
"347","Q8WVI0",9.36,"SMIM4","PC_C391_E4_20x__PC_C391_F",-0.95,0.508737883190251
"348","Q8WVI0",9.36,"SMIM4","PC_C391_E6_20x__PC_C391_F",-1.24,0.254372423416062
"349","Q8WVI0",9.36,"SMIM4","PC_C391_E8_20x__PC_C391_F",-0.94,0.511765391078187
"350","Q8WVI0",9.36,"SMIM4","PC_C391_E9_20x__PC_C391_F",-1.2,0.278787782286819
"351","Q8WVI0",9.36,"SMIM4","PC_C391_F__CRF",3.81,0.00053155617036748
"352","Q8WVI0",9.36,"SMIM4","screen_C391_F__CRF",6.64,NA
"353","Q6R2W3",9.29,"ZBED9","PC_C391_E1_20x__PC_C391_F",-0.95,0.328418708470297
"354","Q6R2W3",9.29,"ZBED9","PC_C391_E10_20x__PC_C391_F",-0.43,0.938087886912184
"355","Q6R2W3",9.29,"ZBED9","PC_C391_E4_20x__PC_C391_F",-1.31,0.104490745370534
"356","Q6R2W3",9.29,"ZBED9","PC_C391_E6_20x__PC_C391_F",-1.39,0.0805153525785733
"357","Q6R2W3",9.29,"ZBED9","PC_C391_E8_20x__PC_C391_F",-0.7,0.635003467650113
"358","Q6R2W3",9.29,"ZBED9","PC_C391_E9_20x__PC_C391_F",-1.27,0.119858732275862
"359","Q6R2W3",9.29,"ZBED9","PC_C391_F__CRF",3.24,0.00047007508822438
"360","Q6R2W3",9.29,"ZBED9","screen_C391_F__CRF",NA,NA
"361","Q9UL46",9.27,"PSME2","PC_C391_E1_20x__PC_C391_F",-1.23,0.109602186739432
"362","Q9UL46",9.27,"PSME2","PC_C391_E10_20x__PC_C391_F",-0.4,0.945608897096846
"363","Q9UL46",9.27,"PSME2","PC_C391_E4_20x__PC_C391_F",-1.14,0.152417337701422
"364","Q9UL46",9.27,"PSME2","PC_C391_E6_20x__PC_C391_F",-1.22,0.115680780413008
"365","Q9UL46",9.27,"PSME2","PC_C391_E8_20x__PC_C391_F",-1.19,0.127328922059087
"366","Q9UL46",9.27,"PSME2","PC_C391_E9_20x__PC_C391_F",-1.01,0.234859454356701
"367","Q9UL46",9.27,"PSME2","PC_C391_F__CRF",3.08,0.00048529821574816
"368","Q9UL46",9.27,"PSME2","screen_C391_F__CRF",3.75,7.98e-06
"369","P42785",9.19,"PRCP","PC_C391_E1_20x__PC_C391_F",-0.93,0.478764609232998
"370","P42785",9.19,"PRCP","PC_C391_E10_20x__PC_C391_F",-0.43,0.966950816366814
"371","P42785",9.19,"PRCP","PC_C391_E4_20x__PC_C391_F",-0.62,0.839686048149189
"372","P42785",9.19,"PRCP","PC_C391_E6_20x__PC_C391_F",-1,0.406010649584018
"373","P42785",9.19,"PRCP","PC_C391_E8_20x__PC_C391_F",-0.89,0.525017241146521
"374","P42785",9.19,"PRCP","PC_C391_E9_20x__PC_C391_F",-1.84,0.0385864063485771
"375","P42785",9.19,"PRCP","PC_C391_F__CRF",3.48,0.00074189728083151
"376","P42785",9.19,"PRCP","screen_C391_F__CRF",5.39,1.7e-07
"377","O95684",9.1,"CEP43","PC_C391_E1_20x__PC_C391_F",-0.83,0.44829388231822
"378","O95684",9.1,"CEP43","PC_C391_E10_20x__PC_C391_F",-0.64,0.702334472336483
"379","O95684",9.1,"CEP43","PC_C391_E4_20x__PC_C391_F",-1,0.267177814622215
"380","O95684",9.1,"CEP43","PC_C391_E6_20x__PC_C391_F",-1.38,0.0775910546359935
"381","O95684",9.1,"CEP43","PC_C391_E8_20x__PC_C391_F",-0.78,0.511626466100954
"382","O95684",9.1,"CEP43","PC_C391_E9_20x__PC_C391_F",-0.71,0.606491592433625
"383","O95684",9.1,"CEP43","PC_C391_F__CRF",3.76,0.00014547977655354
"384","O95684",9.1,"CEP43","screen_C391_F__CRF",4.82,3.054e-05
"385","Q96G23",9.04,"CERS2","PC_C391_E1_20x__PC_C391_F",-0.67,0.459956543119976
"386","Q96G23",9.04,"CERS2","PC_C391_E10_20x__PC_C391_F",-1,0.132647647424251
"387","Q96G23",9.04,"CERS2","PC_C391_E4_20x__PC_C391_F",-1.28,0.0431541038693443
"388","Q96G23",9.04,"CERS2","PC_C391_E6_20x__PC_C391_F",-1.49,0.0187022309576454
"389","Q96G23",9.04,"CERS2","PC_C391_E8_20x__PC_C391_F",-0.83,0.26406667941045
"390","Q96G23",9.04,"CERS2","PC_C391_E9_20x__PC_C391_F",-0.8,0.291907811607052
"391","Q96G23",9.04,"CERS2","PC_C391_F__CRF",2.97,0.00019255224993164
"392","Q96G23",9.04,"CERS2","screen_C391_F__CRF",4.3,NA
"393","Q9BPX6",9.04,"MICU1","PC_C391_E1_20x__PC_C391_F",-0.74,0.445135587018205
"394","Q9BPX6",9.04,"MICU1","PC_C391_E10_20x__PC_C391_F",-0.59,0.677768779868025
"395","Q9BPX6",9.04,"MICU1","PC_C391_E4_20x__PC_C391_F",-1.13,0.114631516786286
"396","Q9BPX6",9.04,"MICU1","PC_C391_E6_20x__PC_C391_F",-1.47,0.0321910573158379
"397","Q9BPX6",9.04,"MICU1","PC_C391_E8_20x__PC_C391_F",-0.98,0.195455785247089
"398","Q9BPX6",9.04,"MICU1","PC_C391_E9_20x__PC_C391_F",-1.14,0.111084484189464
"399","Q9BPX6",9.04,"MICU1","PC_C391_F__CRF",2.99,0.00033584282024334
"400","Q9BPX6",9.04,"MICU1","screen_C391_F__CRF",4.47,4e-07
"401","P22413",8.98,"ENPP1","PC_C391_E1_20x__PC_C391_F",-0.57,0.85091512965215
"402","P22413",8.98,"ENPP1","PC_C391_E10_20x__PC_C391_F",-0.52,0.893485168606817
"403","P22413",8.98,"ENPP1","PC_C391_E4_20x__PC_C391_F",-1.25,0.172849484709503
"404","P22413",8.98,"ENPP1","PC_C391_E6_20x__PC_C391_F",-1.54,0.0708368529705639
"405","P22413",8.98,"ENPP1","PC_C391_E8_20x__PC_C391_F",-0.66,0.74990274565893
"406","P22413",8.98,"ENPP1","PC_C391_E9_20x__PC_C391_F",-0.43,0.957539885644089
"407","P22413",8.98,"ENPP1","PC_C391_F__CRF",4.01,0.00017484022819458
"408","P22413",8.98,"ENPP1","screen_C391_F__CRF",NA,NA
"409","O00461",8.92,"GOLIM4","PC_C391_E1_20x__PC_C391_F",-0.71,0.66847268558999
"410","O00461",8.92,"GOLIM4","PC_C391_E10_20x__PC_C391_F",-0.61,0.791841872480468
"411","O00461",8.92,"GOLIM4","PC_C391_E4_20x__PC_C391_F",-1.1,0.251174968618424
"412","O00461",8.92,"GOLIM4","PC_C391_E6_20x__PC_C391_F",-1.28,0.144940248346572
"413","O00461",8.92,"GOLIM4","PC_C391_E8_20x__PC_C391_F",-0.91,0.431598927469662
"414","O00461",8.92,"GOLIM4","PC_C391_E9_20x__PC_C391_F",-0.64,0.76398318954725
"415","O00461",8.92,"GOLIM4","PC_C391_F__CRF",3.67,0.00029483146588182
"416","O00461",8.92,"GOLIM4","screen_C391_F__CRF",5.02,NA
"417","P45880",8.89,"VDAC2","PC_C391_E1_20x__PC_C391_F",-0.37,0.972430212733304
"418","P45880",8.89,"VDAC2","PC_C391_E10_20x__PC_C391_F",-0.64,0.729119532478534
"419","P45880",8.89,"VDAC2","PC_C391_E4_20x__PC_C391_F",-0.86,0.447795668646441
"420","P45880",8.89,"VDAC2","PC_C391_E6_20x__PC_C391_F",-1.19,0.168335165139567
"421","P45880",8.89,"VDAC2","PC_C391_E8_20x__PC_C391_F",-0.9,0.401043585552659
"422","P45880",8.89,"VDAC2","PC_C391_E9_20x__PC_C391_F",-0.49,0.900107950304716
"423","P45880",8.89,"VDAC2","PC_C391_F__CRF",4.44,5.36353632770714e-05
"424","P45880",8.89,"VDAC2","screen_C391_F__CRF",4.76,2.7e-07
"425","Q9H6D7",8.86,"HAUS4","PC_C391_E1_20x__PC_C391_F",-0.93,0.320811928718824
"426","Q9H6D7",8.86,"HAUS4","PC_C391_E10_20x__PC_C391_F",-0.51,0.853135354605839
"427","Q9H6D7",8.86,"HAUS4","PC_C391_E4_20x__PC_C391_F",-0.88,0.373901506053144
"428","Q9H6D7",8.86,"HAUS4","PC_C391_E6_20x__PC_C391_F",-1.54,0.0403219368027493
"429","Q9H6D7",8.86,"HAUS4","PC_C391_E8_20x__PC_C391_F",-1,0.253463917012194
"430","Q9H6D7",8.86,"HAUS4","PC_C391_E9_20x__PC_C391_F",-0.82,0.439912057474032
"431","Q9H6D7",8.86,"HAUS4","PC_C391_F__CRF",3.18,0.00042055312681377
"432","Q9H6D7",8.86,"HAUS4","screen_C391_F__CRF",4.42,1.1e-07
"433","Q06136",8.79,"KDSR","PC_C391_E1_20x__PC_C391_F",-0.59,0.840934228061307
"434","Q06136",8.79,"KDSR","PC_C391_E10_20x__PC_C391_F",-0.51,0.910730340558644
"435","Q06136",8.79,"KDSR","PC_C391_E4_20x__PC_C391_F",-1.1,0.283381299140463
"436","Q06136",8.79,"KDSR","PC_C391_E6_20x__PC_C391_F",-1.22,0.200971212865414
"437","Q06136",8.79,"KDSR","PC_C391_E8_20x__PC_C391_F",-0.84,0.545700236990174
"438","Q06136",8.79,"KDSR","PC_C391_E9_20x__PC_C391_F",-0.59,0.845759226650903
"439","Q06136",8.79,"KDSR","PC_C391_F__CRF",3.94,0.00023194984737706
"440","Q06136",8.79,"KDSR","screen_C391_F__CRF",3.2,0.00025385
"441","Q8N2G8",8.65,"GHDC","PC_C391_E1_20x__PC_C391_F",-0.54,0.701230793354924
"442","Q8N2G8",8.65,"GHDC","PC_C391_E10_20x__PC_C391_F",-0.81,0.308738343714736
"443","Q8N2G8",8.65,"GHDC","PC_C391_E4_20x__PC_C391_F",-1.01,0.146615374161099
"444","Q8N2G8",8.65,"GHDC","PC_C391_E6_20x__PC_C391_F",-1.25,0.0565962506576779
"445","Q8N2G8",8.65,"GHDC","PC_C391_E8_20x__PC_C391_F",-1.01,0.146232370709246
"446","Q8N2G8",8.65,"GHDC","PC_C391_E9_20x__PC_C391_F",-0.86,0.26380613957784
"447","Q8N2G8",8.65,"GHDC","PC_C391_F__CRF",3.17,0.0001563343714469
"448","Q8N2G8",8.65,"GHDC","screen_C391_F__CRF",4.79,9.4e-07
"449","O75935",8.62,"DCTN3","PC_C391_E1_20x__PC_C391_F",-0.96,0.306465845443429
"450","O75935",8.62,"DCTN3","PC_C391_E10_20x__PC_C391_F",-0.47,0.902743862692921
"451","O75935",8.62,"DCTN3","PC_C391_E4_20x__PC_C391_F",-0.95,0.314483613093379
"452","O75935",8.62,"DCTN3","PC_C391_E6_20x__PC_C391_F",-1.38,0.0775418076766556
"453","O75935",8.62,"DCTN3","PC_C391_E8_20x__PC_C391_F",-0.89,0.376406978026013
"454","O75935",8.62,"DCTN3","PC_C391_E9_20x__PC_C391_F",-0.55,0.819416903645726
"455","O75935",8.62,"DCTN3","PC_C391_F__CRF",3.42,0.00028780834510067
"456","O75935",8.62,"DCTN3","screen_C391_F__CRF",4.68,2.76e-06
"457","Q9Y282",8.59,"ERGIC3","PC_C391_E1_20x__PC_C391_F",-0.63,0.828378609105177
"458","Q9Y282",8.59,"ERGIC3","PC_C391_E10_20x__PC_C391_F",-0.6,0.851394464017706
"459","Q9Y282",8.59,"ERGIC3","PC_C391_E4_20x__PC_C391_F",-0.98,0.432713241937378
"460","Q9Y282",8.59,"ERGIC3","PC_C391_E6_20x__PC_C391_F",-1.21,0.235240334805543
"461","Q9Y282",8.59,"ERGIC3","PC_C391_E8_20x__PC_C391_F",-1.16,0.269263900698272
"462","Q9Y282",8.59,"ERGIC3","PC_C391_E9_20x__PC_C391_F",-0.38,0.983189621517132
"463","Q9Y282",8.59,"ERGIC3","PC_C391_F__CRF",3.63,0.00054890458076883
"464","Q9Y282",8.59,"ERGIC3","screen_C391_F__CRF",3.88,3.01e-06
"465","Q8N4V1",8.58,"MMGT1","PC_C391_E1_20x__PC_C391_F",-0.69,0.609343635611339
"466","Q8N4V1",8.58,"MMGT1","PC_C391_E10_20x__PC_C391_F",-0.28,0.990845440951771
"467","Q8N4V1",8.58,"MMGT1","PC_C391_E4_20x__PC_C391_F",-1.15,0.149374542270189
"468","Q8N4V1",8.58,"MMGT1","PC_C391_E6_20x__PC_C391_F",-1.18,0.134269245067542
"469","Q8N4V1",8.58,"MMGT1","PC_C391_E8_20x__PC_C391_F",-0.91,0.326790858984307
"470","Q8N4V1",8.58,"MMGT1","PC_C391_E9_20x__PC_C391_F",-0.35,0.972651244499523
"471","Q8N4V1",8.58,"MMGT1","PC_C391_F__CRF",4.02,7.2293214816388e-05
"472","Q8N4V1",8.58,"MMGT1","screen_C391_F__CRF",4.11,7.01e-06
"473","P00846",8.54,"MT-ATP6","PC_C391_E1_20x__PC_C391_F",-0.45,0.98092235164941
"474","P00846",8.54,"MT-ATP6","PC_C391_E10_20x__PC_C391_F",-0.22,0.999736483751412
"475","P00846",8.54,"MT-ATP6","PC_C391_E4_20x__PC_C391_F",-1.41,0.236644294846844
"476","P00846",8.54,"MT-ATP6","PC_C391_E6_20x__PC_C391_F",-1.43,0.22725990539662
"477","P00846",8.54,"MT-ATP6","PC_C391_E8_20x__PC_C391_F",-0.98,0.583001166602199
"478","P00846",8.54,"MT-ATP6","PC_C391_E9_20x__PC_C391_F",-0.12,0.999995862674349
"479","P00846",8.54,"MT-ATP6","PC_C391_F__CRF",3.93,0.00093032981627494
"480","P00846",8.54,"MT-ATP6","screen_C391_F__CRF",5.73,7.7e-07
"481","Q9NS69",8.48,"TOMM22","PC_C391_E1_20x__PC_C391_F",-0.51,0.944560754131029
"482","Q9NS69",8.48,"TOMM22","PC_C391_E10_20x__PC_C391_F",-0.4,0.984113773789181
"483","Q9NS69",8.48,"TOMM22","PC_C391_E4_20x__PC_C391_F",-1.01,0.466351403445659
"484","Q9NS69",8.48,"TOMM22","PC_C391_E6_20x__PC_C391_F",-1.32,0.217063447716289
"485","Q9NS69",8.48,"TOMM22","PC_C391_E8_20x__PC_C391_F",-0.77,0.722125544523725
"486","Q9NS69",8.48,"TOMM22","PC_C391_E9_20x__PC_C391_F",-0.06,0.999999962582073
"487","Q9NS69",8.48,"TOMM22","PC_C391_F__CRF",4.41,0.00021253281175293
"488","Q9NS69",8.48,"TOMM22","screen_C391_F__CRF",4.4,1.34e-06
"489","Q8IYU8",8.47,"MICU2","PC_C391_E1_20x__PC_C391_F",-0.57,0.765826614789763
"490","Q8IYU8",8.47,"MICU2","PC_C391_E10_20x__PC_C391_F",-0.71,0.579120744844425
"491","Q8IYU8",8.47,"MICU2","PC_C391_E4_20x__PC_C391_F",-0.88,0.358066927764602
"492","Q8IYU8",8.47,"MICU2","PC_C391_E6_20x__PC_C391_F",-1.38,0.0670565929876483
"493","Q8IYU8",8.47,"MICU2","PC_C391_E8_20x__PC_C391_F",-1.03,0.22186211216611
"494","Q8IYU8",8.47,"MICU2","PC_C391_E9_20x__PC_C391_F",-0.84,0.400513419561148
"495","Q8IYU8",8.47,"MICU2","PC_C391_F__CRF",3.06,0.00051262069080892
"496","Q8IYU8",8.47,"MICU2","screen_C391_F__CRF",3.97,6.9e-07
"497","Q14011",8.42,"CIRBP","PC_C391_E1_20x__PC_C391_F",-0.7,0.539290373021529
"498","Q14011",8.42,"CIRBP","PC_C391_E10_20x__PC_C391_F",-0.84,0.354706813718098
"499","Q14011",8.42,"CIRBP","PC_C391_E4_20x__PC_C391_F",-1,0.204561333151294
"500","Q14011",8.42,"CIRBP","PC_C391_E6_20x__PC_C391_F",-1.39,0.0500560191358722
"501","Q14011",8.42,"CIRBP","PC_C391_E8_20x__PC_C391_F",-0.9,0.284997653632965
"502","Q14011",8.42,"CIRBP","PC_C391_E9_20x__PC_C391_F",-0.52,0.796912311412666
"503","Q14011",8.42,"CIRBP","PC_C391_F__CRF",3.07,0.00034521246420382
"504","Q14011",8.42,"CIRBP","screen_C391_F__CRF",4.56,1.001e-05
"505","Q7RTS9",8.31,"DYM","PC_C391_E1_20x__PC_C391_F",-0.73,0.516041142986937
"506","Q7RTS9",8.31,"DYM","PC_C391_E10_20x__PC_C391_F",-0.55,0.779575048501165
"507","Q7RTS9",8.31,"DYM","PC_C391_E4_20x__PC_C391_F",-1.02,0.209858946887155
"508","Q7RTS9",8.31,"DYM","PC_C391_E6_20x__PC_C391_F",-1.16,0.128239797003514
"509","Q7RTS9",8.31,"DYM","PC_C391_E8_20x__PC_C391_F",-1.02,0.205967073205728
"510","Q7RTS9",8.31,"DYM","PC_C391_E9_20x__PC_C391_F",-0.67,0.608621861136508
"511","Q7RTS9",8.31,"DYM","PC_C391_F__CRF",3.16,0.00033398870187528
"512","Q7RTS9",8.31,"DYM","screen_C391_F__CRF",4.33,0.00014376
"513","P30825",8.27,"SLC7A1","PC_C391_E1_20x__PC_C391_F",-0.49,0.942291290169501
"514","P30825",8.27,"SLC7A1","PC_C391_E10_20x__PC_C391_F",-0.57,0.884496543925873
"515","P30825",8.27,"SLC7A1","PC_C391_E4_20x__PC_C391_F",-1.23,0.229718613677534
"516","P30825",8.27,"SLC7A1","PC_C391_E6_20x__PC_C391_F",-1.26,0.212551685634463
"517","P30825",8.27,"SLC7A1","PC_C391_E8_20x__PC_C391_F",-0.95,0.470591404410755
"518","P30825",8.27,"SLC7A1","PC_C391_E9_20x__PC_C391_F",-0.7,0.756301012628504
"519","P30825",8.27,"SLC7A1","PC_C391_F__CRF",3.07,0.00185794669470063
"520","P30825",8.27,"SLC7A1","screen_C391_F__CRF",4.97,3.18e-06
"521","Q9NWM8",8.19,"FKBP14","PC_C391_E1_20x__PC_C391_F",-0.8,0.545168692075296
"522","Q9NWM8",8.19,"FKBP14","PC_C391_E10_20x__PC_C391_F",-0.33,0.986500877990612
"523","Q9NWM8",8.19,"FKBP14","PC_C391_E4_20x__PC_C391_F",-1.03,0.300590735014616
"524","Q9NWM8",8.19,"FKBP14","PC_C391_E6_20x__PC_C391_F",-1.34,0.117757274625679
"525","Q9NWM8",8.19,"FKBP14","PC_C391_E8_20x__PC_C391_F",-0.81,0.531916383177389
"526","Q9NWM8",8.19,"FKBP14","PC_C391_E9_20x__PC_C391_F",-0.44,0.945174490721715
"527","Q9NWM8",8.19,"FKBP14","PC_C391_F__CRF",3.44,0.00043183923114209
"528","Q9NWM8",8.19,"FKBP14","screen_C391_F__CRF",5.02,8.58e-06
"529","Q9NRY5",8.19,"FAM114A2","PC_C391_E1_20x__PC_C391_F",-0.71,0.532982489845685
"530","Q9NRY5",8.19,"FAM114A2","PC_C391_E10_20x__PC_C391_F",-0.56,0.753235220703145
"531","Q9NRY5",8.19,"FAM114A2","PC_C391_E4_20x__PC_C391_F",-0.94,0.256493465485527
"532","Q9NRY5",8.19,"FAM114A2","PC_C391_E6_20x__PC_C391_F",-1.44,0.0426627854257341
"533","Q9NRY5",8.19,"FAM114A2","PC_C391_E8_20x__PC_C391_F",-0.73,0.495078946227492
"534","Q9NRY5",8.19,"FAM114A2","PC_C391_E9_20x__PC_C391_F",-0.59,0.708359916210125
"535","Q9NRY5",8.19,"FAM114A2","PC_C391_F__CRF",3.22,0.00025310271949285
"536","Q9NRY5",8.19,"FAM114A2","screen_C391_F__CRF",4.17,1.09e-06
"537","P55786",8.11,"NPEPPS","PC_C391_E1_20x__PC_C391_F",-0.78,0.513257472539005
"538","P55786",8.11,"NPEPPS","PC_C391_E10_20x__PC_C391_F",-0.22,0.998004783675972
"539","P55786",8.11,"NPEPPS","PC_C391_E4_20x__PC_C391_F",-0.73,0.571716263676522
"540","P55786",8.11,"NPEPPS","PC_C391_E6_20x__PC_C391_F",-1.2,0.138767482417149
"541","P55786",8.11,"NPEPPS","PC_C391_E8_20x__PC_C391_F",-0.91,0.358616883143134
"542","P55786",8.11,"NPEPPS","PC_C391_E9_20x__PC_C391_F",-1.09,0.200508898526683
"543","P55786",8.11,"NPEPPS","PC_C391_F__CRF",3.18,0.00048096606721381
"544","P55786",8.11,"NPEPPS","screen_C391_F__CRF",4.82,7.7e-07
"545","P14406",8.1,"COX7A2","PC_C391_E1_20x__PC_C391_F",-0.6,0.887648383319193
