fid,smiles,tert_amine,proj_x,proj_y,sign_0,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_9
C029,C#CCCC1(CCNC(=O)C2CCN(Cc3ccccc3)CC2(F)F)N=N1,1,-5.6639423,-4.38969,0.0072984451872941,0.0,0.0308741286065424,0.0785668107797203,0.0025678186386803,0.0195298150660349,0.0,0.0448882652716926,0.0294927665070089,0.0
C030,C#CCCC1(CCC(=O)NC[C@H]2C[C@H](c3n[nH]c(=O)n3C)C[C@H]2O)N=N1,0,-4.8560157,4.930139,0.0,0.0,0.0,0.3899665448824109,0.0,0.0398025213983688,0.0,0.6114284585106178,0.0,0.0
C031,C#CCCC1(CCC(=O)NC2C3CC4CC2CC(NC(C)=O)(C4)C3)N=N1,0,-4.2889442,5.0649824,0.0,0.0,0.0,0.7751806300034428,0.0,0.0,0.0,0.4930558732626613,0.0,0.0
C032,C#CCCC1(CCC(=O)NCc2ccccc2S(=O)(=O)NC)N=N1,0,6.817694,-0.116863616,0.0,0.0,0.0,0.0223068676980892,0.9700342060567912,0.0,0.0,0.0,0.0,0.0
C033,C#CCCC1(CCNC(=O)C2CC3(C)CCCN3S2(=O)=O)N=N1,0,-1.2901685,3.8722112,0.0,0.0,0.0245045312777925,0.4435231172447136,0.0012382516503747,0.0,0.0,0.1102548715356551,0.0,0.0
C034,C#CCCC1(CCC(=O)N2CCCN(CC(=O)NCC)CC2)N=N1,1,-4.408819,5.179257,0.0,0.0,0.0,0.490915965435486,0.0,0.0,0.0,0.5762259345991119,0.0,0.0
C035,C#CCCC1(CCNC(=O)C(C)Cn2ccc3ccccc32)N=N1,0,-4.4194775,5.1315126,0.0,0.0,0.0,0.6119099074607329,0.0,0.0,0.0,0.5314511805533192,0.0,0.0
C036,C#CCCC1(CCNC(=O)C23CCC(N(C)C)(CC2)CC3)N=N1,1,8.2924,-15.122802,0.0,0.0008182120378503,0.8791059542512422,0.0,0.0,0.0001356060022891,0.0,0.0,0.0226290949736171,0.0
C037,C#CCCC1(CCC(=O)NC2(CS(C)(=O)=O)COC2)N=N1,0,14.740444,4.6252465,0.0,0.3608930883523386,0.0150812052110354,0.0,0.1548919659314191,0.2210919143881053,0.0,0.082276543656409,0.0,0.1095645954063158
C038,C#CCCC1(CCC(=O)NC(CC(C)C)c2nc[nH]n2)N=N1,0,-1.4996772,-6.750211,0.0,0.0216977170421463,0.0,0.0409096192015862,0.1348750489140817,0.0091821906280624,0.0,0.0,0.1673119166336128,0.0
C039,C#CCCC1(CCC(=O)N2CCC3(CC2)CC3c2nnc(-c3cccc(F)c3)o2)N=N1,0,-6.414752,15.157639,0.0843542965385008,0.4957987049607781,0.014100460984362,0.0564426658449994,0.0,0.0293980485004042,0.2259124909802483,0.0,0.4894067580405481,0.0077973837765374
C040,C#CCCC1(CCC(=O)Nc2cc(C)n(Cn3nc(C(F)(F)F)cc3C)n2)N=N1,0,8.574079,10.456309,0.4733380921905653,0.0,0.0,0.0,0.1797529465011657,0.0,0.0,0.0,0.1269076615488966,0.7307349729619589
C041,C#CCCC1(CCNC(=O)C2(S(=O)(=O)c3ccc(C)cc3)CCCC2)N=N1,0,-2.105187,-10.546931,0.0385241137849021,0.0021265534567799,0.2098717393433502,0.0,0.0218184719759501,0.0,0.0661663558836669,0.161275914628712,0.1478323474620834,0.0
C042,C#CCCC1(CCC(=O)N2CCCC(N3C(=O)CC4(CCCC4)C3=O)C2)N=N1,0,0.1773456,0.17828979,0.0,0.0831854224046933,0.0,0.285582868994548,0.0,0.0133258225828909,0.0,0.0,0.1666491898220821,0.0
C044,C#CCCC1(CCC(=O)NC(C)c2cnn(-c3ccc(C#N)cc3)c2C)N=N1,0,-5.0211897,13.854694,0.0,0.3687853557535852,0.0132349132953578,0.0,0.0,0.0,0.0199454381986824,0.0,0.1846718777240751,0.0
C045,C#CCCC1(CCC(=O)NCC2(N3CCN(C(C)C)CC3)CCCC2)N=N1,1,8.894186,-15.1213875,0.0,0.0,0.9142744129276892,0.0,0.0012943166260201,0.0012762883383303,0.0,0.0,0.0,0.0
C046,C#CCCC1(CCNC(=O)C2CS(=O)C3c4ccccc4C(=O)N23)N=N1,0,-1.4160744,7.199075,0.0004224969430792,0.3476648753131336,0.0,0.4693255416532582,0.0,0.0185145118857976,0.0,0.0,0.0,0.0
C048,C#CCCC1(CCC(=O)NCC(c2nnc3ccc(C)nn23)C(C)C)N=N1,0,-4.024531,-3.693129,0.0,0.0167493493141503,0.0492011907951173,0.0294644530086057,0.0687672835974796,6.037863307975026e-05,0.0603631740771057,0.0027143995920535,0.0522631062187005,0.0117779799436557
C049,C#CCCC1(CCC(=O)NC(C)c2oc3c(OC)cc(C)cc3c2C)N=N1,0,8.357333,12.9262085,0.6084023526101953,0.0136655747948291,0.0,0.0,0.0,0.0,0.1799228262288734,0.4462985485280598,0.0,0.1400959476225121
C050,C#CCCC1(CCC(=O)NC2(c3ccnc(S(C)(=O)=O)n3)CC2)N=N1,0,-4.424504,-1.4055547,0.0,0.0,0.0,0.1611666597920351,0.0322895546904954,0.0406349186881551,0.0,0.03150688938413,0.0109056060045819,0.0
C051,C#CCCC1(CCC(=O)Nc2cccc(C(O)CC(F)(F)F)c2)N=N1,0,5.6760454,0.8207238,0.0627875434835712,0.0,0.0381996884817706,0.0130493754618333,0.6832327624009804,0.0,0.0113053485363472,0.0718621602566737,0.1062223959172874,0.0
C052,C#CCCC1(CCNC(=O)c2cc(-c3ccc4c(c3)CCO4)no2)N=N1,0,-5.4361014,-12.090069,0.0415484598914275,0.0442647109891111,0.0,0.0,0.0216579982576917,0.0649441452300145,0.0,0.3431829451516771,0.3978921564252417,0.0
C053,C#CCCC1(CCC(=O)N2CCc3ccc(Cl)c(Cl)c3C2)N=N1,0,8.519747,12.974143,0.5396146691800731,0.0198946795786754,0.0,0.0,0.0,0.0,0.2886909423134386,0.5637729622897625,0.1333878921227144,0.0
C054,C#CCCC1(CCC(=O)N2CC(NC(=O)NC(C)C)C(OC)C2)N=N1,0,-2.0311465,2.672489,0.033795621491221,0.0,0.0,0.4722453096565331,0.0,0.0191497595425087,0.0,0.0,0.0,0.0
C055,C#CCCC1(CCC(=O)NCC(F)(F)c2[nH]nc3c2CCCC3)N=N1,0,7.4818373,5.889795,0.0,0.0,0.0,0.0201450572665119,0.5203053236108708,0.0,0.0181552092848807,0.0,0.0,1.1151328671039549
C056,C#CCCC1(CCNC(=O)c2c[nH]nc2-c2cc3ccccc3o2)N=N1,0,7.8890195,7.4770765,0.0204596371660477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6149539979068777
C057,C#CCCC1(CCC(=O)NC[C@@H]2COC[C@H]2n2cc(CO)nn2)N=N1,0,17.695274,0.60963434,0.0028518248040974,0.1176353558679973,0.0,0.0,0.1152616314634249,0.4306159407312557,0.0,0.1634703572659202,0.0,0.0
C058,C#CCCC1(CCNC(=O)CC2(C(F)(F)F)CCC(=O)NC2)N=N1,0,-2.7061672,-7.8210855,0.0,0.0,0.0,0.0349055260712069,0.0,0.0093865771943437,0.0,0.0846347935565716,0.1039268395349484,0.0992597499803435
