gene_name,importance,proj_x,proj_y,sign_0,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_9
AASDHPPT,65.88995510841966,2.8437476,9.603713,0.0,62.689910548034995,0.0,0.0,3.200044560384666,0.0,0.0,0.0,0.0,0.0
ABCB6,956.3501320296508,10.249479,3.8981273,61.19894246241348,0.0,99.74632090286684,0.0,0.0,0.0,467.0867877320907,0.0,127.37252059937198,200.94556033290755
ABCB7,2450.848616656509,-4.7320647,-19.254934,0.0,0.0,0.0,0.0,756.0883116021423,22.468654305208403,1091.2985239468503,120.17602867064524,0.0,460.8170981316627
ABCC1,2035.0495514705033,12.7656355,2.1274028,0.0,0.0,208.3622220883095,0.0,155.67667864149428,0.0,984.185802791714,115.9405459341558,561.8269251095796,9.057376905250228
ABCD1,572.2063705053145,4.4035816,-5.238053,0.0,0.0,0.0,0.0,0.0,0.0,201.29767205650563,0.0,176.17392573629118,194.73477271251755
ABCD3,987.2558371307416,-9.99578,-14.809862,240.74128868083343,40.32889291404216,0.0,10.226153198924566,691.0453081828717,0.0,0.0,0.0,4.9141941540697305,0.0
ABHD11,249.55060422467673,-6.4517074,-7.308089,0.0,0.0,0.0,1.2207181942124834,248.32988603046425,0.0,0.0,0.0,0.0,0.0
ABHD12,2747.544189292993,17.83727,-4.8863077,1588.3857761118245,43.324045248322825,102.04481814051306,110.61190548739216,115.01038395786588,0.0,788.1672603470747,0.0,0.0,0.0
ACADM,1114.92733770151,-10.213905,-10.043874,0.0,0.0,0.0,73.94720061625013,543.6948430867469,33.15335420750529,0.0,0.0,464.13193979100754,0.0
ACADVL,1052.5125366575085,-4.5672517,-9.015729,196.5464009064231,0.0,0.0,0.0,340.0053272690415,0.0,161.74338994741683,0.0,163.0363483533693,191.1810701812579
ACBD5,752.4285663695689,7.740085,-8.355594,327.34482426683644,27.106787810804732,0.0,0.0,0.0,32.16298812207353,0.0,0.0,0.0,365.81396616985415
ACOT8,78.42388151185781,3.3620424,9.444357,0.0,51.78800674196964,0.0,0.0,2.8339710360201926,23.801903733867988,0.0,0.0,0.0,0.0
ACSL1,521.633054038174,-3.3473732,-7.0292826,205.0536467650704,0.0,0.0,0.0,131.69827912476623,0.0,0.0,45.38019183213416,0.0,139.50093631620328
ACTR3,144.92933432053002,-4.269475,-5.0893264,0.0,0.0,0.0,0.0,88.41889810988248,0.0,0.0,10.186794735751953,0.0,46.323641474895595
ACVR1B,533.9088803604898,11.690457,11.807022,0.0,0.0,397.2247949730259,0.0,19.88931760206179,0.0,116.79476778540214,0.0,0.0,0.0
ADI1,571.055806331123,2.162089,0.40944555,0.0,0.0,0.0,43.3174583705684,156.9195578256152,0.0,0.0,35.038815388484934,335.77997474645446,0.0
ADK,1428.9713529326395,-23.400915,6.648825,0.0,41.0069430357722,0.0,0.0,0.0,1348.6937740912851,39.270635805582224,0.0,0.0,0.0
ADSS,146.44612265971307,-4.802888,-5.2194786,0.0,0.0,0.0,1.6067627161010016,130.2320403213448,0.0,0.0,0.0,14.60731962226727,0.0
AFG3L2,1078.4505578219917,-12.04043,-14.954661,39.66587593925381,0.0,0.0,22.614813476216,856.7958654208675,84.83962962467974,0.0,0.0,74.53437336097447,0.0
AGK,2879.512096915267,-2.972574,-18.699026,304.07443228689834,0.0,0.0,0.0,765.8050746785682,0.0,825.7873969879945,137.60950403019152,0.0,846.2356889316145
AGPAT5,2943.924350318287,12.419797,-12.281125,866.010462755709,0.0,0.0,0.0,318.2637485508509,0.0,526.6486107193498,0.0,0.0,1233.0015282923775
AGPS,1527.0544202455878,-12.738871,-17.194757,56.51592823759331,0.0,26.828177976331514,0.0,1054.7548522845666,0.0,253.4029558380017,135.55250590909475,0.0,0.0
AHCYL1,1584.9634437239988,-23.057337,6.226629,87.33887548854985,0.0,20.643037116505937,6.804512979281203,0.0,1255.3867515099455,0.0,0.0,214.7902666297162,0.0
AHSA1,1506.68660768807,14.197173,-8.462586,997.425863030398,33.58484473088873,0.0,0.0,0.0,30.4957082003598,0.0,20.30029655805056,0.0,424.8798951683731
AK3,1608.0778040921143,-0.103310324,-16.390524,0.0,0.0,0.0,0.0,695.0655735990538,67.78769053591284,0.0,0.0,0.0,845.2245399571478
AKAP8,2562.503793246621,-24.349976,4.807426,0.0,551.7340662312708,0.0,0.0,621.8728921081494,1378.2332850668076,0.0,0.0,10.663549840393292,0.0
AKT1,522.6008093846272,-6.157149,-6.3904204,0.0,189.02803745078052,72.01087622455631,33.51559008780749,228.0463056214828,0.0,0.0,0.0,0.0,0.0
AKT2,972.4726206171048,9.399125,13.772433,0.0,160.80584804571075,332.1761690081264,173.0028356216517,0.0,0.0,30.302080723247965,74.7416148635811,148.19406456806192,53.2500077867249
ALDH1A2,1106.6757018583216,-0.008511107,0.15362482,0.0,468.6644579577737,0.0,0.0,46.12940877944839,174.10180489364035,0.0,79.7766051030029,338.00342512445627,0.0
ALDH1B1,1392.0115247666622,-12.526916,-13.136304,0.0,155.3782279795741,0.0,0.0,716.7374170652556,296.4091063831292,0.0,0.0,223.4867733387031,0.0
ALDH2,401.8922838486559,-7.3926163,-8.925995,0.0,16.981020702201757,3.74763679613718,28.45636073532439,352.70726561499254,0.0,0.0,0.0,0.0,0.0
ALDH5A1,421.0666330264084,-7.1429563,-8.5258045,0.0,19.523459091894026,1.0718091377120362,1.1518762420158843,333.0739873665827,0.0,59.551510629019845,0.0,0.0,6.693990559183958
